,quality_score,Country of Origin,Aroma,Flavor,Aftertaste,Acidity,Processing Method,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Moisture,Category One Defects,Category Two Defects,Temperature (F)
96,81.83,Brazil,7.75,7.75,7.5,7.42,Semi-washed / Semi-pulped,7.83,7.75,9.33,9.33,9.33,7.83,0.12,0,0,77.90873346153846
97,81.83,Brazil,7.33,7.67,7.25,7.5,,7.5,7.25,10.0,10.0,10.0,7.33,0.02,0,2,77.90873346153846
98,81.75,Brazil,7.17,7.25,7.17,7.25,Natural / Dry,7.42,8.25,10.0,10.0,10.0,7.25,0.1,0,1,77.90873346153846
99,81.67,Brazil,7.42,7.5,7.25,7.5,Natural / Dry,7.5,7.25,10.0,10.0,10.0,7.25,0.11,0,5,77.90873346153846
100,81.67,Brazil,7.25,7.75,6.92,7.42,Natural / Dry,7.5,7.58,10.0,10.0,10.0,7.25,0.0,0,0,77.90873346153846
101,81.67,Brazil,7.25,7.42,7.25,7.5,Washed / Wet,7.5,7.42,10.0,10.0,10.0,7.33,0.1,0,2,77.90873346153846
102,81.58,Brazil,7.42,7.42,7.33,7.33,Washed / Wet,7.5,7.25,10.0,10.0,10.0,7.33,0.12,0,3,77.90873346153846
103,81.5,Brazil,7.58,7.5,7.5,7.67,Semi-washed / Semi-pulped,7.67,7.83,9.33,9.33,9.33,7.75,0.0,1,1,77.90873346153846
104,81.5,Brazil,7.5,7.42,7.17,7.42,Semi-washed / Semi-pulped,7.5,7.33,10.0,10.0,10.0,7.17,0.12,0,2,77.90873346153846
105,81.42,Brazil,7.33,7.5,7.5,7.33,Natural / Dry,6.83,7.42,10.0,10.0,10.0,7.5,0.11,0,2,77.90873346153846
106,81.42,Brazil,7.25,7.5,7.42,7.17,Natural / Dry,7.33,7.33,10.0,10.0,10.0,7.42,0.0,0,0,77.90873346153846
107,81.33,Brazil,7.25,7.33,7.33,7.33,Natural / Dry,7.33,7.42,10.0,10.0,10.0,7.33,0.11,0,14,77.90873346153846
108,81.33,Brazil,7.17,7.33,7.42,7.25,Other,7.42,7.33,10.0,10.0,10.0,7.42,0.12,0,6,77.90873346153846
109,81.33,Brazil,7.5,7.58,7.5,7.5,Natural / Dry,7.75,7.83,9.33,9.33,9.33,7.58,0.11,0,0,77.90873346153846
110,81.25,Brazil,7.17,7.42,7.17,7.08,Natural / Dry,6.92,8.17,10.0,10.0,10.0,7.33,0.0,0,1,77.90873346153846
111,81.17,Brazil,7.42,7.42,7.17,7.42,Natural / Dry,7.33,7.25,10.0,10.0,10.0,7.17,0.11,0,3,77.90873346153846
112,81.17,Brazil,7.42,7.33,7.25,7.42,Natural / Dry,7.5,7.17,10.0,10.0,10.0,7.08,0.12,0,1,77.90873346153846
113,81.08,Brazil,7.58,7.42,7.5,7.25,Natural / Dry,7.75,7.58,9.33,10.0,9.33,7.33,0.11,5,8,77.90873346153846
114,81.0,Brazil,7.25,7.25,7.17,7.5,Pulped natural / honey,7.33,7.17,10.0,10.0,10.0,7.33,0.11,0,9,77.90873346153846
115,81.0,Brazil,7.33,7.17,7.17,7.67,Pulped natural / honey,7.33,7.17,10.0,10.0,10.0,7.17,0.11,0,3,77.90873346153846
116,81.0,Brazil,7.67,7.75,7.83,7.75,Natural / Dry,7.83,7.75,10.0,6.67,10.0,7.75,0.12,0,0,77.90873346153846
117,80.92,Brazil,7.25,7.33,7.25,7.25,Natural / Dry,7.25,7.33,10.0,10.0,10.0,7.25,0.12,0,8,77.90873346153846
118,80.92,Brazil,7.17,7.42,7.17,7.25,Natural / Dry,7.25,7.33,10.0,10.0,10.0,7.33,0.1,0,0,77.90873346153846
119,80.75,Brazil,7.17,7.25,7.08,7.17,Natural / Dry,7.25,7.58,10.0,10.0,10.0,7.25,0.0,0,1,77.90873346153846
120,80.58,Brazil,7.33,7.25,7.33,7.08,,7.58,7.25,9.33,10.0,10.0,7.42,0.11,0,7,77.90873346153846
121,80.58,Brazil,7.42,7.25,7.33,7.0,Semi-washed / Semi-pulped,7.08,7.25,10.0,10.0,10.0,7.25,0.0,0,3,77.90873346153846
122,80.5,Brazil,7.25,7.33,7.17,7.5,Semi-washed / Semi-pulped,7.33,7.25,9.33,10.0,10.0,7.33,0.11,0,3,77.90873346153846
123,80.5,Brazil,7.42,7.42,7.08,7.33,Semi-washed / Semi-pulped,7.67,7.5,9.33,9.33,10.0,7.42,0.1,0,10,77.90873346153846
